geoid,name,population,value,percentile,numerator,denominator
06037480703,4807.03,3612,0.639194403487662,0.85982028241335,,
06037480704,4807.04,4619,0.427397177506693,0.746854942233633,,
06029002100,21,3190,-1.40445957629,0.00436456996148909,,
06037401203,4012.03,5224,-0.130323048125233,0.413607188703466,,
06037122000,1220,5892,-0.327659211679877,0.30385109114249,,
06107000100,1,4845,-0.214629993695185,0.364826700898588,,
06037137103,1371.03,5382,0.239308027978776,0.629139922978177,,
06059099233,992.33,3074,0.298113668670857,0.66392811296534,,
06059086405,864.05,7658,-0.369422446377491,0.280487804878049,,
06019007003,70.03,8061,-0.454218269898172,0.237098844672657,,
06073002709,27.09,4470,-0.902780407276155,0.0648267008985879,,
06085512037,5120.37,3416,0.680779154895945,0.876893453145058,,
06073016202,162.02,3868,-0.194454456867106,0.376636713735558,,
06037407501,4075.01,4257,-0.445072371100224,0.241206675224647,,
06095253106,2531.06,3675,0.0136172579857106,0.497560975609756,,
06037134306,1343.06,4305,-0.254273878468418,0.343388960205392,,
06059087505,875.05,4913,-0.291625635495055,0.32413350449294,,
06047000802,8.02,4109,0.00804487061631411,0.494736842105263,,
06065043900,439,6698,-0.278667022873478,0.332734274711168,,
06059011102,111.02,4134,0.0807281332973777,0.536842105263158,,
06089012604,126.04,2107,-0.333194531227637,0.300513478818999,,
06089012400,124,3575,-0.287466035855704,0.32785622593068,,
06067004702,47.02,4946,-0.858127507662106,0.0752246469833119,,
06037532800,5328,4590,-0.953054508933456,0.0523748395378691,,
06037207101,2071.01,3717,-0.680943195118141,0.132220795892169,,
06037433504,4335.04,4802,-1.04183194758864,0.0329910141206675,,
06037530006,5300.06,4430,-0.0885022810314704,0.436585365853659,,
06059099902,999.02,4299,0.112294810630925,0.557252888318357,,
06095252911,2529.11,4818,0.30245995510623,0.666495507060334,,
06075022702,227.02,2298,1.45030859489961,0.998587933247754,,
06019003805,38.05,7392,-1.00774888594433,0.0399229781771502,,
06075012202,122.02,3181,-0.736117055043219,0.111039794608472,,
